"Year","Offence_Type","Gender_Accused","Relationship_Type","Total_Offences","Cleared_Offences","Clearance_Rate"
"2009","Abandonment (art. 127)","female","former partnership","3","0","0"
"2009","Abandonment (art. 127)","female","other family relationship","3","0","0"
"2009","Abandonment (art. 127)","female","parent-child relationship","3","2","0.666667"
"2009","Abandonment (art. 127)","female","partnership","3","0","0"
"2009","Abandonment (art. 127)","female","Total","3","2","0.666667"
"2009","Abandonment (art. 127)","male","former partnership","3","1","0.333333"
"2009","Abandonment (art. 127)","male","other family relationship","3","0","0"
"2009","Abandonment (art. 127)","male","parent-child relationship","3","0","0"
"2009","Abandonment (art. 127)","male","partnership","3","0","0"
"2009","Abandonment (art. 127)","male","Total","3","1","0.333333"
"2009","Acts of aggression (art. 126)","female","former partnership","4928","113","0.02293"
"2009","Acts of aggression (art. 126)","female","other family relationship","4928","58","0.011769"
"2009","Acts of aggression (art. 126)","female","parent-child relationship","4928","146","0.029627"
"2009","Acts of aggression (art. 126)","female","partnership","4928","599","0.12155"
"2009","Acts of aggression (art. 126)","female","Total","4928","904","0.183442"
"2009","Acts of aggression (art. 126)","male","former partnership","4928","655","0.132914"
"2009","Acts of aggression (art. 126)","male","other family relationship","4928","165","0.033482"
"2009","Acts of aggression (art. 126)","male","parent-child relationship","4928","417","0.084619"
"2009","Acts of aggression (art. 126)","male","partnership","4928","2610","0.529627"
"2009","Acts of aggression (art. 126)","male","Total","4928","3691","0.748985"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","female","former partnership","3","0","0"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","female","other family relationship","3","0","0"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","female","parent-child relationship","3","1","0.333333"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","female","partnership","3","0","0"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","female","Total","3","1","0.333333"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","male","former partnership","3","0","0"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","male","other family relationship","3","0","0"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","male","parent-child relationship","3","1","0.333333"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","male","partnership","3","1","0.333333"
"2009","Acts preparatory to the commission of an offence (art. 260bis)","male","Total","3","2","0.666667"
"2009","Administering substances capable of causing injury to children (art. 136)","female","former partnership","4","0","0"
"2009","Administering substances capable of causing injury to children (art. 136)","female","other family relationship","4","0","0"
"2009","Administering substances capable of causing injury to children (art. 136)","female","parent-child relationship","4","1","0.25"
"2009","Administering substances capable of causing injury to children (art. 136)","female","partnership","4","0","0"
"2009","Administering substances capable of causing injury to children (art. 136)","female","Total","4","1","0.25"
"2009","Administering substances capable of causing injury to children (art. 136)","male","former partnership","4","0","0"
"2009","Administering substances capable of causing injury to children (art. 136)","male","other family relationship","4","2","0.5"
"2009","Administering substances capable of causing injury to children (art. 136)","male","parent-child relationship","4","1","0.25"
